모델명,LOT NO.,작업자,SPEC,생산수량,GOOD,NG,Yield(%)
SOFC_B07,260906-B01,SAMPLE_2,0.40,12,10,2,83.33

NO,판정결과,RAWDATA개수,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70
1,GOOD,54,0.008,0.008,0.013,0.012,0.019,0.023,0.031,0.038,0.046,0.058,0.068,0.079,0.093,0.103,0.122,0.136,0.147,0.162,0.175,0.194,0.208,0.225,0.237,0.253,0.273,0.289,0.304,0.319,0.333,0.347,0.360,0.372,0.386,0.398,0.408,0.418,0.426,0.437,0.442,0.448,0.453,0.458,0.462,0.465,0.462,0.453,0.445,0.437,0.431,0.427,0.419,0.413,0.408,0.400,,,,,,,,,,,,,,,,
2,GOOD,70,0.007,0.010,0.009,0.013,0.016,0.021,0.026,0.032,0.043,0.051,0.058,0.068,0.077,0.088,0.101,0.112,0.121,0.134,0.150,0.167,0.177,0.192,0.206,0.222,0.240,0.256,0.271,0.283,0.300,0.314,0.333,0.346,0.365,0.380,0.392,0.409,0.423,0.440,0.454,0.468,0.482,0.490,0.507,0.514,0.531,0.538,0.549,0.558,0.568,0.575,0.580,0.588,0.589,0.599,0.601,0.605,0.603,0.598,0.596,0.587,0.581,0.572,0.564,0.562,0.552,0.546,0.537,0.535,0.526,0.519
3,GOOD,58,0.007,0.010,0.008,0.011,0.018,0.022,0.029,0.037,0.045,0.054,0.066,0.078,0.090,0.105,0.113,0.130,0.146,0.155,0.174,0.186,0.205,0.217,0.232,0.251,0.264,0.285,0.300,0.314,0.329,0.346,0.358,0.373,0.387,0.404,0.413,0.425,0.441,0.450,0.460,0.468,0.479,0.485,0.490,0.496,0.503,0.503,0.503,0.502,0.495,0.488,0.485,0.475,0.470,0.460,0.457,0.447,0.444,0.435,,,,,,,,,,,,
4,GOOD,60,0.007,0.010,0.012,0.012,0.019,0.024,0.025,0.034,0.041,0.050,0.059,0.065,0.076,0.085,0.096,0.105,0.121,0.131,0.145,0.157,0.171,0.183,0.195,0.207,0.226,0.240,0.252,0.262,0.276,0.287,0.303,0.315,0.328,0.336,0.348,0.359,0.374,0.385,0.392,0.403,0.407,0.416,0.424,0.427,0.432,0.437,0.441,0.440,0.444,0.440,0.434,0.427,0.424,0.416,0.412,0.407,0.399,0.395,0.388,0.385,,,,,,,,,,
5,NG,48,0.007,0.009,0.010,0.014,0.021,0.025,0.029,0.037,0.046,0.058,0.068,0.078,0.087,0.098,0.114,0.128,0.139,0.152,0.164,0.179,0.192,0.207,0.219,0.230,0.246,0.255,0.268,0.279,0.293,0.300,0.312,0.322,0.331,0.334,0.341,0.345,0.348,0.356,0.356,0.350,0.349,0.340,0.333,0.331,0.324,0.316,0.310,0.307,,,,,,,,,,,,,,,,,,,,,,
6,GOOD,57,0.011,0.011,0.012,0.015,0.021,0.027,0.039,0.049,0.058,0.069,0.080,0.092,0.111,0.124,0.140,0.156,0.179,0.192,0.215,0.233,0.253,0.272,0.287,0.308,0.331,0.346,0.369,0.389,0.408,0.425,0.439,0.462,0.476,0.492,0.506,0.524,0.535,0.549,0.562,0.574,0.579,0.587,0.594,0.604,0.607,0.610,0.609,0.602,0.590,0.581,0.572,0.569,0.558,0.548,0.541,0.531,0.526,,,,,,,,,,,,,
7,GOOD,62,0.007,0.009,0.007,0.010,0.014,0.022,0.026,0.034,0.039,0.046,0.057,0.062,0.076,0.086,0.094,0.109,0.122,0.133,0.143,0.159,0.168,0.185,0.201,0.212,0.227,0.240,0.251,0.266,0.279,0.297,0.311,0.324,0.337,0.349,0.358,0.370,0.380,0.396,0.402,0.412,0.422,0.430,0.439,0.448,0.454,0.457,0.463,0.466,0.469,0.472,0.472,0.465,0.460,0.454,0.448,0.444,0.438,0.430,0.424,0.419,0.413,0.405,,,,,,,,
8,GOOD,57,0.006,0.010,0.008,0.016,0.017,0.027,0.032,0.044,0.051,0.058,0.071,0.086,0.095,0.108,0.127,0.139,0.152,0.172,0.188,0.203,0.219,0.237,0.253,0.270,0.286,0.304,0.322,0.340,0.355,0.371,0.387,0.400,0.417,0.434,0.445,0.459,0.467,0.482,0.489,0.501,0.506,0.516,0.523,0.525,0.528,0.532,0.533,0.524,0.517,0.507,0.502,0.497,0.487,0.483,0.476,0.467,0.458,,,,,,,,,,,,,
9,GOOD,61,0.009,0.008,0.012,0.014,0.016,0.024,0.029,0.037,0.045,0.058,0.064,0.077,0.089,0.103,0.115,0.130,0.147,0.161,0.178,0.189,0.208,0.225,0.242,0.254,0.273,0.287,0.308,0.325,0.341,0.359,0.375,0.388,0.403,0.417,0.433,0.446,0.459,0.471,0.487,0.500,0.505,0.516,0.526,0.536,0.541,0.548,0.549,0.554,0.555,0.558,0.550,0.548,0.537,0.531,0.526,0.514,0.509,0.503,0.498,0.491,0.482,,,,,,,,,
10,NG,64,0.006,0.010,0.010,0.013,0.012,0.015,0.024,0.024,0.033,0.039,0.041,0.048,0.057,0.063,0.071,0.083,0.092,0.102,0.109,0.119,0.126,0.140,0.146,0.157,0.166,0.179,0.190,0.203,0.212,0.219,0.234,0.240,0.252,0.262,0.270,0.278,0.292,0.295,0.304,0.313,0.320,0.328,0.335,0.345,0.346,0.351,0.356,0.362,0.363,0.368,0.366,0.366,0.365,0.364,0.358,0.353,0.351,0.344,0.342,0.337,0.332,0.325,0.322,0.318,,,,,,
