Time,StartedAt,Station,LotNumber,FileName,OperatorName,Result,PeakLoadKgf,LowerSpecKgf,UpperSpecKgf,SampleCount,DataFileName,Message,DataRowNumber
2026-09-04 10:01:00.000,2026-09-04 10:00:00.000,#1,LOT0401,SAMPLE_SOFC_1,SAMPLE,GOOD,0.552000,0.400000,0.400000,60,20260904101400_LOT0401_GOOD.csv,"SAMPLE: random demonstration data, not production measurements.",1
2026-09-04 10:02:00.000,2026-09-04 10:01:00.000,#1,LOT0401,SAMPLE_SOFC_1,SAMPLE,GOOD,0.525000,0.400000,0.400000,60,20260904101400_LOT0401_GOOD.csv,"SAMPLE: random demonstration data, not production measurements.",2
2026-09-04 10:03:00.000,2026-09-04 10:02:00.000,#1,LOT0401,SAMPLE_SOFC_1,SAMPLE,GOOD,0.432000,0.400000,0.400000,60,20260904101400_LOT0401_GOOD.csv,"SAMPLE: random demonstration data, not production measurements.",3
2026-09-04 10:04:00.000,2026-09-04 10:03:00.000,#1,LOT0401,SAMPLE_SOFC_1,SAMPLE,GOOD,0.558000,0.400000,0.400000,60,20260904101400_LOT0401_GOOD.csv,"SAMPLE: random demonstration data, not production measurements.",4
2026-09-04 10:05:00.000,2026-09-04 10:04:00.000,#1,LOT0401,SAMPLE_SOFC_1,SAMPLE,GOOD,0.449000,0.400000,0.400000,60,20260904101400_LOT0401_GOOD.csv,"SAMPLE: random demonstration data, not production measurements.",5
2026-09-04 10:06:00.000,2026-09-04 10:05:00.000,#1,LOT0401,SAMPLE_SOFC_1,SAMPLE,GOOD,0.437000,0.400000,0.400000,60,20260904101400_LOT0401_GOOD.csv,"SAMPLE: random demonstration data, not production measurements.",6
2026-09-04 10:07:00.000,2026-09-04 10:06:00.000,#1,LOT0401,SAMPLE_SOFC_1,SAMPLE,GOOD,0.577000,0.400000,0.400000,60,20260904101400_LOT0401_GOOD.csv,"SAMPLE: random demonstration data, not production measurements.",7
2026-09-04 10:08:00.000,2026-09-04 10:07:00.000,#1,LOT0401,SAMPLE_SOFC_1,SAMPLE,GOOD,0.462000,0.400000,0.400000,60,20260904101400_LOT0401_GOOD.csv,"SAMPLE: random demonstration data, not production measurements.",8
2026-09-04 10:09:00.000,2026-09-04 10:08:00.000,#1,LOT0401,SAMPLE_SOFC_1,SAMPLE,GOOD,0.455000,0.400000,0.400000,60,20260904101400_LOT0401_GOOD.csv,"SAMPLE: random demonstration data, not production measurements.",9
2026-09-04 10:10:00.000,2026-09-04 10:09:00.000,#1,LOT0401,SAMPLE_SOFC_1,SAMPLE,GOOD,0.527000,0.400000,0.400000,60,20260904101400_LOT0401_GOOD.csv,"SAMPLE: random demonstration data, not production measurements.",10
2026-09-04 10:11:00.000,2026-09-04 10:10:00.000,#1,LOT0401,SAMPLE_SOFC_1,SAMPLE,GOOD,0.496000,0.400000,0.400000,60,20260904101400_LOT0401_GOOD.csv,"SAMPLE: random demonstration data, not production measurements.",11
2026-09-04 10:12:00.000,2026-09-04 10:11:00.000,#1,LOT0401,SAMPLE_SOFC_1,SAMPLE,GOOD,0.480000,0.400000,0.400000,60,20260904101400_LOT0401_GOOD.csv,"SAMPLE: random demonstration data, not production measurements.",12
2026-09-04 11:01:00.000,2026-09-04 11:00:00.000,#2,LOT0401,SAMPLE_SOFC_2,SAMPLE,NG,0.372000,0.400000,0.400000,60,20260904111400_LOT0401_NG.csv,"SAMPLE: random demonstration data, not production measurements.",1
2026-09-04 11:02:00.000,2026-09-04 11:01:00.000,#2,LOT0401,SAMPLE_SOFC_2,SAMPLE,GOOD,0.529000,0.400000,0.400000,60,20260904111400_LOT0401_NG.csv,"SAMPLE: random demonstration data, not production measurements.",2
2026-09-04 11:03:00.000,2026-09-04 11:02:00.000,#2,LOT0401,SAMPLE_SOFC_2,SAMPLE,GOOD,0.573000,0.400000,0.400000,60,20260904111400_LOT0401_NG.csv,"SAMPLE: random demonstration data, not production measurements.",3
2026-09-04 11:04:00.000,2026-09-04 11:03:00.000,#2,LOT0401,SAMPLE_SOFC_2,SAMPLE,GOOD,0.561000,0.400000,0.400000,60,20260904111400_LOT0401_NG.csv,"SAMPLE: random demonstration data, not production measurements.",4
2026-09-04 11:05:00.000,2026-09-04 11:04:00.000,#2,LOT0401,SAMPLE_SOFC_2,SAMPLE,NG,0.337000,0.400000,0.400000,60,20260904111400_LOT0401_NG.csv,"SAMPLE: random demonstration data, not production measurements.",5
2026-09-04 11:06:00.000,2026-09-04 11:05:00.000,#2,LOT0401,SAMPLE_SOFC_2,SAMPLE,GOOD,0.570000,0.400000,0.400000,60,20260904111400_LOT0401_NG.csv,"SAMPLE: random demonstration data, not production measurements.",6
2026-09-04 11:07:00.000,2026-09-04 11:06:00.000,#2,LOT0401,SAMPLE_SOFC_2,SAMPLE,GOOD,0.520000,0.400000,0.400000,60,20260904111400_LOT0401_NG.csv,"SAMPLE: random demonstration data, not production measurements.",7
2026-09-04 11:08:00.000,2026-09-04 11:07:00.000,#2,LOT0401,SAMPLE_SOFC_2,SAMPLE,GOOD,0.450000,0.400000,0.400000,60,20260904111400_LOT0401_NG.csv,"SAMPLE: random demonstration data, not production measurements.",8
2026-09-04 11:09:00.000,2026-09-04 11:08:00.000,#2,LOT0401,SAMPLE_SOFC_2,SAMPLE,NG,0.266000,0.400000,0.400000,60,20260904111400_LOT0401_NG.csv,"SAMPLE: random demonstration data, not production measurements.",9
2026-09-04 11:10:00.000,2026-09-04 11:09:00.000,#2,LOT0401,SAMPLE_SOFC_2,SAMPLE,GOOD,0.418000,0.400000,0.400000,60,20260904111400_LOT0401_NG.csv,"SAMPLE: random demonstration data, not production measurements.",10
2026-09-04 11:11:00.000,2026-09-04 11:10:00.000,#2,LOT0401,SAMPLE_SOFC_2,SAMPLE,GOOD,0.559000,0.400000,0.400000,60,20260904111400_LOT0401_NG.csv,"SAMPLE: random demonstration data, not production measurements.",11
2026-09-04 11:12:00.000,2026-09-04 11:11:00.000,#2,LOT0401,SAMPLE_SOFC_2,SAMPLE,GOOD,0.436000,0.400000,0.400000,60,20260904111400_LOT0401_NG.csv,"SAMPLE: random demonstration data, not production measurements.",12
2026-09-04 09:52:01.000,2026-09-04 09:51:00.000,#1,260904-A01,SOFC_A12,SAMPLE_1,GOOD,0.582000,0.400000,0.400000,61,20260904_101900_260904-A01_SOFC_A12.csv,Generated sample data,1
2026-09-04 09:53:58.000,2026-09-04 09:53:00.000,#1,260904-A01,SOFC_A12,SAMPLE_1,GOOD,0.473000,0.400000,0.400000,58,20260904_101900_260904-A01_SOFC_A12.csv,Generated sample data,2
2026-09-04 09:55:59.000,2026-09-04 09:55:00.000,#1,260904-A01,SOFC_A12,SAMPLE_1,GOOD,0.469000,0.400000,0.400000,59,20260904_101900_260904-A01_SOFC_A12.csv,Generated sample data,3
2026-09-04 09:58:02.000,2026-09-04 09:57:00.000,#1,260904-A01,SOFC_A12,SAMPLE_1,GOOD,0.541000,0.400000,0.400000,62,20260904_101900_260904-A01_SOFC_A12.csv,Generated sample data,4
2026-09-04 10:00:07.000,2026-09-04 09:59:00.000,#1,260904-A01,SOFC_A12,SAMPLE_1,NG,0.352000,0.400000,0.400000,67,20260904_101900_260904-A01_SOFC_A12.csv,Generated sample data,5
2026-09-04 10:01:58.000,2026-09-04 10:01:00.000,#1,260904-A01,SOFC_A12,SAMPLE_1,GOOD,0.460000,0.400000,0.400000,58,20260904_101900_260904-A01_SOFC_A12.csv,Generated sample data,6
2026-09-04 10:03:53.000,2026-09-04 10:03:00.000,#1,260904-A01,SOFC_A12,SAMPLE_1,GOOD,0.505000,0.400000,0.400000,53,20260904_101900_260904-A01_SOFC_A12.csv,Generated sample data,7
2026-09-04 10:05:59.000,2026-09-04 10:05:00.000,#1,260904-A01,SOFC_A12,SAMPLE_1,GOOD,0.609000,0.400000,0.400000,59,20260904_101900_260904-A01_SOFC_A12.csv,Generated sample data,8
2026-09-04 10:08:08.000,2026-09-04 10:07:00.000,#1,260904-A01,SOFC_A12,SAMPLE_1,GOOD,0.483000,0.400000,0.400000,68,20260904_101900_260904-A01_SOFC_A12.csv,Generated sample data,9
2026-09-04 10:09:55.000,2026-09-04 10:09:00.000,#1,260904-A01,SOFC_A12,SAMPLE_1,NG,0.350000,0.400000,0.400000,55,20260904_101900_260904-A01_SOFC_A12.csv,Generated sample data,10
2026-09-04 10:11:51.000,2026-09-04 10:11:00.000,#1,260904-A01,SOFC_A12,SAMPLE_1,GOOD,0.580000,0.400000,0.400000,51,20260904_101900_260904-A01_SOFC_A12.csv,Generated sample data,11
2026-09-04 10:14:05.000,2026-09-04 10:13:00.000,#1,260904-A01,SOFC_A12,SAMPLE_1,GOOD,0.547000,0.400000,0.400000,65,20260904_101900_260904-A01_SOFC_A12.csv,Generated sample data,12
2026-09-04 14:01:50.000,2026-09-04 14:01:00.000,#2,260904-B01,SOFC_B07,SAMPLE_2,GOOD,0.457000,0.400000,0.400000,50,20260904_142900_260904-B01_SOFC_B07.csv,Generated sample data,1
2026-09-04 14:04:08.000,2026-09-04 14:03:00.000,#2,260904-B01,SOFC_B07,SAMPLE_2,GOOD,0.610000,0.400000,0.400000,68,20260904_142900_260904-B01_SOFC_B07.csv,Generated sample data,2
2026-09-04 14:05:58.000,2026-09-04 14:05:00.000,#2,260904-B01,SOFC_B07,SAMPLE_2,GOOD,0.463000,0.400000,0.400000,58,20260904_142900_260904-B01_SOFC_B07.csv,Generated sample data,3
2026-09-04 14:07:53.000,2026-09-04 14:07:00.000,#2,260904-B01,SOFC_B07,SAMPLE_2,GOOD,0.530000,0.400000,0.400000,53,20260904_142900_260904-B01_SOFC_B07.csv,Generated sample data,4
2026-09-04 14:10:01.000,2026-09-04 14:09:00.000,#2,260904-B01,SOFC_B07,SAMPLE_2,NG,0.369000,0.400000,0.400000,61,20260904_142900_260904-B01_SOFC_B07.csv,Generated sample data,5
2026-09-04 14:11:57.000,2026-09-04 14:11:00.000,#2,260904-B01,SOFC_B07,SAMPLE_2,GOOD,0.529000,0.400000,0.400000,57,20260904_142900_260904-B01_SOFC_B07.csv,Generated sample data,6
2026-09-04 14:14:01.000,2026-09-04 14:13:00.000,#2,260904-B01,SOFC_B07,SAMPLE_2,GOOD,0.560000,0.400000,0.400000,61,20260904_142900_260904-B01_SOFC_B07.csv,Generated sample data,7
2026-09-04 14:16:10.000,2026-09-04 14:15:00.000,#2,260904-B01,SOFC_B07,SAMPLE_2,GOOD,0.486000,0.400000,0.400000,70,20260904_142900_260904-B01_SOFC_B07.csv,Generated sample data,8
2026-09-04 14:18:06.000,2026-09-04 14:17:00.000,#2,260904-B01,SOFC_B07,SAMPLE_2,GOOD,0.613000,0.400000,0.400000,66,20260904_142900_260904-B01_SOFC_B07.csv,Generated sample data,9
2026-09-04 14:20:02.000,2026-09-04 14:19:00.000,#2,260904-B01,SOFC_B07,SAMPLE_2,NG,0.397000,0.400000,0.400000,62,20260904_142900_260904-B01_SOFC_B07.csv,Generated sample data,10
2026-09-04 14:21:49.000,2026-09-04 14:21:00.000,#2,260904-B01,SOFC_B07,SAMPLE_2,GOOD,0.488000,0.400000,0.400000,49,20260904_142900_260904-B01_SOFC_B07.csv,Generated sample data,11
2026-09-04 14:24:02.000,2026-09-04 14:23:00.000,#2,260904-B01,SOFC_B07,SAMPLE_2,GOOD,0.467000,0.400000,0.400000,62,20260904_142900_260904-B01_SOFC_B07.csv,Generated sample data,12
