모델명,SAMPLE_SOFC_2,LOT NO.,LOT0601,작업자,SAMPLE,SPEC,0.40,생산수량,12,GOOD,9,NG,3,Yield(%),75.00

NO.,판정결과,LOW DATA 1 (kgf),LOW DATA 2 (kgf),LOW DATA 3 (kgf),LOW DATA 4 (kgf),LOW DATA 5 (kgf),LOW DATA 6 (kgf),LOW DATA 7 (kgf),LOW DATA 8 (kgf),LOW DATA 9 (kgf),LOW DATA 10 (kgf),LOW DATA 11 (kgf),LOW DATA 12 (kgf),LOW DATA 13 (kgf),LOW DATA 14 (kgf),LOW DATA 15 (kgf),LOW DATA 16 (kgf),LOW DATA 17 (kgf),LOW DATA 18 (kgf),LOW DATA 19 (kgf),LOW DATA 20 (kgf),LOW DATA 21 (kgf),LOW DATA 22 (kgf),LOW DATA 23 (kgf),LOW DATA 24 (kgf),LOW DATA 25 (kgf),LOW DATA 26 (kgf),LOW DATA 27 (kgf),LOW DATA 28 (kgf),LOW DATA 29 (kgf),LOW DATA 30 (kgf),LOW DATA 31 (kgf),LOW DATA 32 (kgf),LOW DATA 33 (kgf),LOW DATA 34 (kgf),LOW DATA 35 (kgf),LOW DATA 36 (kgf),LOW DATA 37 (kgf),LOW DATA 38 (kgf),LOW DATA 39 (kgf),LOW DATA 40 (kgf),LOW DATA 41 (kgf),LOW DATA 42 (kgf),LOW DATA 43 (kgf),LOW DATA 44 (kgf),LOW DATA 45 (kgf),LOW DATA 46 (kgf),LOW DATA 47 (kgf),LOW DATA 48 (kgf),LOW DATA 49 (kgf),LOW DATA 50 (kgf),LOW DATA 51 (kgf),LOW DATA 52 (kgf),LOW DATA 53 (kgf),LOW DATA 54 (kgf),LOW DATA 55 (kgf),LOW DATA 56 (kgf),LOW DATA 57 (kgf),LOW DATA 58 (kgf),LOW DATA 59 (kgf),LOW DATA 60 (kgf)
1,NG,0.020000,0.032000,0.045000,0.058000,0.068000,0.083000,0.094000,0.105000,0.120000,0.131000,0.141000,0.156000,0.166000,0.181000,0.190000,0.205000,0.216000,0.227000,0.242000,0.254000,0.264000,0.276000,0.290000,0.304000,0.315000,0.327000,0.339000,0.351000,0.364000,0.378000,0.389000,0.375000,0.365000,0.352000,0.338000,0.329000,0.313000,0.302000,0.290000,0.279000,0.266000,0.253000,0.243000,0.229000,0.219000,0.204000,0.194000,0.180000,0.168000,0.154000,0.143000,0.131000,0.118000,0.107000,0.095000,0.083000,0.068000,0.056000,0.043000,0.032000
2,GOOD,0.020000,0.037000,0.058000,0.073000,0.094000,0.112000,0.128000,0.150000,0.169000,0.183000,0.202000,0.224000,0.240000,0.261000,0.276000,0.293000,0.314000,0.331000,0.350000,0.369000,0.389000,0.406000,0.422000,0.444000,0.460000,0.479000,0.498000,0.517000,0.533000,0.553000,0.571000,0.554000,0.533000,0.514000,0.498000,0.481000,0.459000,0.441000,0.424000,0.405000,0.389000,0.370000,0.351000,0.332000,0.312000,0.294000,0.277000,0.257000,0.242000,0.222000,0.205000,0.187000,0.165000,0.150000,0.132000,0.114000,0.095000,0.073000,0.058000,0.039000
3,GOOD,0.021000,0.038000,0.060000,0.077000,0.096000,0.117000,0.137000,0.155000,0.176000,0.191000,0.214000,0.233000,0.252000,0.269000,0.290000,0.307000,0.326000,0.349000,0.367000,0.386000,0.404000,0.425000,0.442000,0.461000,0.482000,0.502000,0.520000,0.538000,0.559000,0.576000,0.597000,0.576000,0.557000,0.540000,0.520000,0.502000,0.482000,0.463000,0.442000,0.425000,0.404000,0.386000,0.365000,0.348000,0.327000,0.307000,0.291000,0.269000,0.250000,0.230000,0.213000,0.194000,0.172000,0.153000,0.137000,0.116000,0.095000,0.079000,0.059000,0.040000
4,GOOD,0.020000,0.036000,0.054000,0.070000,0.086000,0.101000,0.115000,0.132000,0.149000,0.167000,0.181000,0.199000,0.212000,0.229000,0.244000,0.261000,0.280000,0.296000,0.309000,0.328000,0.343000,0.358000,0.373000,0.389000,0.407000,0.425000,0.438000,0.457000,0.474000,0.490000,0.504000,0.489000,0.470000,0.456000,0.439000,0.422000,0.406000,0.391000,0.373000,0.359000,0.343000,0.328000,0.312000,0.296000,0.277000,0.261000,0.247000,0.228000,0.216000,0.199000,0.181000,0.164000,0.151000,0.133000,0.118000,0.102000,0.086000,0.068000,0.054000,0.036000
5,NG,0.020000,0.031000,0.044000,0.057000,0.068000,0.081000,0.093000,0.107000,0.117000,0.133000,0.144000,0.157000,0.168000,0.180000,0.194000,0.205000,0.216000,0.231000,0.243000,0.254000,0.268000,0.277000,0.290000,0.304000,0.317000,0.330000,0.340000,0.353000,0.365000,0.376000,0.390000,0.378000,0.365000,0.353000,0.340000,0.326000,0.317000,0.303000,0.291000,0.277000,0.268000,0.254000,0.241000,0.231000,0.219000,0.205000,0.192000,0.180000,0.166000,0.157000,0.142000,0.132000,0.119000,0.105000,0.096000,0.080000,0.069000,0.059000,0.045000,0.033000
6,GOOD,0.021000,0.036000,0.049000,0.066000,0.079000,0.093000,0.109000,0.126000,0.139000,0.152000,0.167000,0.185000,0.200000,0.215000,0.227000,0.244000,0.257000,0.272000,0.286000,0.302000,0.317000,0.332000,0.348000,0.361000,0.377000,0.394000,0.407000,0.422000,0.437000,0.453000,0.467000,0.453000,0.438000,0.423000,0.408000,0.390000,0.378000,0.361000,0.346000,0.333000,0.318000,0.305000,0.288000,0.274000,0.260000,0.242000,0.229000,0.215000,0.198000,0.185000,0.169000,0.153000,0.140000,0.125000,0.109000,0.096000,0.080000,0.066000,0.048000,0.034000
7,GOOD,0.021000,0.037000,0.051000,0.067000,0.080000,0.096000,0.112000,0.126000,0.144000,0.158000,0.174000,0.192000,0.206000,0.220000,0.236000,0.253000,0.267000,0.283000,0.296000,0.314000,0.327000,0.342000,0.360000,0.373000,0.391000,0.405000,0.420000,0.436000,0.453000,0.468000,0.483000,0.469000,0.450000,0.438000,0.420000,0.408000,0.389000,0.377000,0.358000,0.345000,0.330000,0.313000,0.299000,0.283000,0.267000,0.253000,0.235000,0.223000,0.204000,0.192000,0.176000,0.160000,0.142000,0.126000,0.112000,0.096000,0.082000,0.064000,0.051000,0.034000
8,GOOD,0.020000,0.040000,0.056000,0.074000,0.094000,0.111000,0.128000,0.148000,0.166000,0.183000,0.201000,0.221000,0.241000,0.256000,0.275000,0.294000,0.313000,0.331000,0.348000,0.367000,0.385000,0.406000,0.422000,0.443000,0.460000,0.478000,0.494000,0.514000,0.534000,0.551000,0.569000,0.550000,0.532000,0.513000,0.494000,0.479000,0.460000,0.441000,0.423000,0.406000,0.386000,0.367000,0.350000,0.332000,0.314000,0.296000,0.276000,0.257000,0.241000,0.220000,0.205000,0.183000,0.167000,0.148000,0.131000,0.112000,0.092000,0.076000,0.056000,0.038000
9,NG,0.020000,0.033000,0.045000,0.055000,0.071000,0.082000,0.093000,0.108000,0.117000,0.131000,0.144000,0.153000,0.167000,0.179000,0.190000,0.205000,0.215000,0.228000,0.239000,0.252000,0.265000,0.276000,0.288000,0.304000,0.313000,0.326000,0.340000,0.351000,0.363000,0.376000,0.388000,0.377000,0.362000,0.353000,0.340000,0.326000,0.314000,0.304000,0.290000,0.279000,0.264000,0.251000,0.240000,0.229000,0.216000,0.202000,0.190000,0.178000,0.169000,0.155000,0.144000,0.132000,0.117000,0.105000,0.092000,0.082000,0.067000,0.056000,0.045000,0.033000
10,GOOD,0.021000,0.038000,0.053000,0.069000,0.087000,0.103000,0.117000,0.136000,0.150000,0.169000,0.186000,0.201000,0.218000,0.235000,0.249000,0.265000,0.283000,0.300000,0.317000,0.332000,0.348000,0.364000,0.383000,0.399000,0.416000,0.431000,0.449000,0.465000,0.480000,0.496000,0.513000,0.495000,0.480000,0.466000,0.447000,0.432000,0.413000,0.399000,0.380000,0.366000,0.349000,0.334000,0.316000,0.301000,0.285000,0.269000,0.250000,0.234000,0.217000,0.203000,0.184000,0.168000,0.152000,0.136000,0.119000,0.101000,0.086000,0.068000,0.054000,0.037000
11,GOOD,0.021000,0.034000,0.050000,0.067000,0.080000,0.095000,0.110000,0.125000,0.139000,0.154000,0.170000,0.185000,0.199000,0.215000,0.229000,0.246000,0.260000,0.274000,0.291000,0.305000,0.322000,0.335000,0.352000,0.367000,0.381000,0.395000,0.411000,0.426000,0.443000,0.458000,0.471000,0.454000,0.442000,0.425000,0.410000,0.397000,0.381000,0.364000,0.352000,0.335000,0.320000,0.304000,0.290000,0.275000,0.262000,0.243000,0.229000,0.216000,0.200000,0.184000,0.170000,0.155000,0.138000,0.124000,0.110000,0.095000,0.079000,0.065000,0.050000,0.034000
12,GOOD,0.020000,0.032000,0.047000,0.060000,0.073000,0.088000,0.100000,0.116000,0.129000,0.143000,0.156000,0.169000,0.184000,0.195000,0.209000,0.224000,0.236000,0.253000,0.266000,0.278000,0.293000,0.304000,0.318000,0.332000,0.346000,0.361000,0.374000,0.388000,0.402000,0.414000,0.427000,0.412000,0.400000,0.387000,0.372000,0.359000,0.344000,0.334000,0.317000,0.306000,0.292000,0.276000,0.266000,0.252000,0.238000,0.225000,0.212000,0.196000,0.181000,0.168000,0.157000,0.141000,0.129000,0.116000,0.102000,0.087000,0.072000,0.062000,0.049000,0.034000
