모델명,LOT NO.,작업자,SPEC,생산수량,GOOD,NG,Yield(%)
SOFC_B07,260905-B01,SAMPLE_2,0.40,12,10,2,83.33

NO,판정결과,RAWDATA개수,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72
1,GOOD,61,0.010,0.010,0.011,0.012,0.015,0.021,0.027,0.034,0.040,0.050,0.055,0.068,0.075,0.089,0.100,0.108,0.121,0.138,0.147,0.158,0.174,0.191,0.202,0.217,0.227,0.245,0.259,0.270,0.284,0.300,0.315,0.323,0.338,0.352,0.365,0.376,0.384,0.397,0.405,0.417,0.427,0.437,0.442,0.448,0.454,0.458,0.463,0.463,0.468,0.471,0.461,0.458,0.451,0.444,0.437,0.436,0.427,0.424,0.414,0.410,0.406,,,,,,,,,,,
2,GOOD,57,0.009,0.011,0.009,0.013,0.019,0.021,0.029,0.036,0.049,0.059,0.064,0.077,0.090,0.101,0.112,0.127,0.145,0.156,0.173,0.188,0.202,0.219,0.232,0.251,0.264,0.281,0.300,0.310,0.325,0.340,0.357,0.372,0.383,0.398,0.412,0.422,0.432,0.446,0.455,0.458,0.468,0.477,0.478,0.486,0.488,0.492,0.490,0.483,0.476,0.471,0.463,0.455,0.448,0.444,0.434,0.427,0.424,,,,,,,,,,,,,,,
3,GOOD,52,0.005,0.006,0.009,0.019,0.023,0.028,0.037,0.045,0.056,0.070,0.084,0.100,0.115,0.128,0.145,0.161,0.180,0.198,0.217,0.233,0.253,0.276,0.292,0.313,0.328,0.349,0.364,0.382,0.401,0.415,0.434,0.448,0.463,0.475,0.488,0.500,0.505,0.517,0.521,0.526,0.528,0.535,0.533,0.527,0.518,0.511,0.501,0.495,0.486,0.476,0.470,0.461,,,,,,,,,,,,,,,,,,,,
4,GOOD,56,0.009,0.006,0.011,0.012,0.019,0.021,0.033,0.041,0.046,0.057,0.067,0.079,0.093,0.100,0.115,0.129,0.140,0.157,0.170,0.185,0.200,0.219,0.233,0.249,0.261,0.280,0.293,0.310,0.326,0.338,0.355,0.366,0.381,0.392,0.407,0.417,0.426,0.433,0.443,0.451,0.458,0.462,0.468,0.475,0.474,0.473,0.472,0.462,0.455,0.448,0.442,0.434,0.429,0.420,0.415,0.407,,,,,,,,,,,,,,,,
5,NG,70,0.006,0.005,0.011,0.011,0.011,0.014,0.022,0.022,0.026,0.033,0.037,0.046,0.048,0.061,0.063,0.074,0.082,0.086,0.096,0.106,0.113,0.126,0.133,0.144,0.150,0.162,0.174,0.181,0.193,0.201,0.209,0.223,0.228,0.240,0.251,0.257,0.268,0.279,0.287,0.292,0.304,0.308,0.320,0.324,0.330,0.339,0.342,0.349,0.358,0.362,0.363,0.366,0.373,0.371,0.377,0.376,0.378,0.374,0.371,0.369,0.362,0.359,0.355,0.352,0.346,0.342,0.339,0.335,0.328,0.329,,
6,GOOD,69,0.006,0.006,0.011,0.010,0.017,0.017,0.023,0.029,0.034,0.041,0.048,0.053,0.062,0.070,0.080,0.089,0.104,0.112,0.125,0.133,0.145,0.155,0.166,0.180,0.194,0.204,0.215,0.227,0.239,0.255,0.265,0.276,0.291,0.303,0.318,0.327,0.338,0.350,0.360,0.369,0.382,0.393,0.399,0.411,0.421,0.425,0.434,0.444,0.450,0.453,0.458,0.462,0.469,0.470,0.469,0.475,0.474,0.464,0.460,0.455,0.453,0.445,0.439,0.436,0.428,0.424,0.420,0.415,0.407,,,
7,GOOD,69,0.008,0.008,0.012,0.010,0.019,0.019,0.028,0.035,0.041,0.046,0.056,0.065,0.078,0.085,0.101,0.108,0.125,0.134,0.152,0.163,0.175,0.189,0.208,0.219,0.233,0.250,0.266,0.280,0.296,0.313,0.328,0.345,0.357,0.375,0.392,0.407,0.416,0.433,0.445,0.461,0.471,0.484,0.497,0.507,0.519,0.527,0.539,0.547,0.554,0.561,0.570,0.574,0.576,0.579,0.584,0.583,0.584,0.577,0.567,0.565,0.558,0.550,0.544,0.536,0.531,0.525,0.515,0.509,0.502,,,
8,GOOD,72,0.006,0.011,0.008,0.011,0.018,0.020,0.025,0.031,0.040,0.046,0.055,0.065,0.074,0.083,0.096,0.104,0.120,0.132,0.143,0.155,0.169,0.185,0.198,0.216,0.229,0.244,0.256,0.274,0.290,0.301,0.319,0.333,0.350,0.364,0.381,0.396,0.407,0.426,0.440,0.454,0.463,0.476,0.489,0.501,0.512,0.527,0.537,0.547,0.551,0.564,0.569,0.577,0.585,0.590,0.594,0.597,0.600,0.600,0.603,0.594,0.589,0.586,0.579,0.572,0.567,0.557,0.549,0.543,0.540,0.535,0.528,0.521
9,GOOD,61,0.011,0.006,0.010,0.012,0.020,0.027,0.034,0.039,0.050,0.057,0.073,0.080,0.096,0.112,0.125,0.136,0.152,0.166,0.185,0.205,0.221,0.237,0.255,0.274,0.290,0.310,0.328,0.345,0.359,0.376,0.397,0.412,0.429,0.443,0.461,0.476,0.488,0.502,0.516,0.530,0.538,0.552,0.557,0.568,0.577,0.583,0.587,0.588,0.591,0.593,0.588,0.582,0.572,0.567,0.559,0.549,0.541,0.535,0.527,0.521,0.514,,,,,,,,,,,
10,NG,49,0.009,0.008,0.009,0.014,0.018,0.022,0.028,0.034,0.048,0.054,0.064,0.075,0.087,0.096,0.106,0.123,0.134,0.145,0.160,0.171,0.187,0.198,0.214,0.221,0.238,0.249,0.260,0.271,0.284,0.296,0.305,0.315,0.319,0.331,0.336,0.340,0.346,0.349,0.351,0.356,0.348,0.344,0.340,0.332,0.330,0.320,0.319,0.313,0.304,,,,,,,,,,,,,,,,,,,,,,,
11,GOOD,70,0.008,0.007,0.011,0.011,0.014,0.020,0.024,0.033,0.035,0.043,0.051,0.062,0.070,0.084,0.094,0.105,0.112,0.124,0.137,0.152,0.165,0.176,0.195,0.205,0.220,0.236,0.250,0.262,0.278,0.293,0.307,0.324,0.339,0.353,0.363,0.379,0.391,0.406,0.417,0.433,0.442,0.455,0.465,0.479,0.491,0.501,0.507,0.516,0.521,0.530,0.539,0.544,0.546,0.549,0.555,0.556,0.557,0.554,0.551,0.542,0.538,0.528,0.523,0.518,0.513,0.504,0.500,0.492,0.487,0.479,,
12,GOOD,60,0.010,0.007,0.009,0.016,0.020,0.020,0.028,0.036,0.043,0.051,0.066,0.077,0.085,0.097,0.110,0.124,0.135,0.152,0.161,0.181,0.194,0.211,0.226,0.237,0.253,0.271,0.283,0.303,0.316,0.330,0.349,0.364,0.372,0.388,0.399,0.417,0.429,0.439,0.449,0.458,0.466,0.477,0.483,0.493,0.495,0.500,0.502,0.504,0.508,0.506,0.500,0.493,0.482,0.477,0.473,0.467,0.457,0.450,0.446,0.436,,,,,,,,,,,,
