모델명,LOT NO.,작업자,SPEC,생산수량,GOOD,NG,Yield(%)
SOFC_A12,260905-A01,SAMPLE_1,0.40,12,10,2,83.33

NO,판정결과,RAWDATA개수,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70
1,GOOD,57,0.008,0.008,0.009,0.017,0.023,0.025,0.036,0.047,0.055,0.069,0.078,0.095,0.104,0.123,0.138,0.153,0.171,0.191,0.208,0.225,0.243,0.264,0.279,0.303,0.321,0.341,0.356,0.373,0.394,0.413,0.429,0.445,0.464,0.480,0.494,0.509,0.518,0.536,0.547,0.553,0.565,0.571,0.576,0.585,0.586,0.588,0.590,0.583,0.573,0.564,0.559,0.548,0.539,0.532,0.528,0.519,0.508,,,,,,,,,,,,,
2,GOOD,48,0.011,0.012,0.012,0.015,0.024,0.030,0.036,0.047,0.058,0.070,0.088,0.099,0.116,0.134,0.150,0.168,0.181,0.202,0.218,0.238,0.256,0.273,0.291,0.310,0.325,0.345,0.357,0.373,0.389,0.406,0.418,0.429,0.442,0.452,0.460,0.462,0.467,0.476,0.473,0.470,0.461,0.453,0.447,0.441,0.433,0.428,0.416,0.409,,,,,,,,,,,,,,,,,,,,,,
3,GOOD,57,0.009,0.006,0.012,0.014,0.017,0.024,0.030,0.041,0.050,0.059,0.066,0.080,0.091,0.101,0.115,0.128,0.143,0.158,0.176,0.188,0.206,0.217,0.234,0.249,0.267,0.283,0.296,0.310,0.327,0.343,0.359,0.374,0.388,0.396,0.409,0.424,0.435,0.443,0.454,0.462,0.471,0.474,0.485,0.485,0.491,0.489,0.490,0.487,0.476,0.469,0.464,0.458,0.450,0.446,0.438,0.431,0.425,,,,,,,,,,,,,
4,GOOD,69,0.009,0.007,0.009,0.013,0.015,0.017,0.025,0.033,0.038,0.041,0.053,0.061,0.067,0.076,0.089,0.102,0.112,0.121,0.132,0.147,0.159,0.172,0.184,0.201,0.210,0.223,0.238,0.254,0.266,0.281,0.296,0.312,0.321,0.336,0.352,0.360,0.375,0.387,0.400,0.410,0.421,0.433,0.445,0.457,0.465,0.473,0.481,0.490,0.498,0.505,0.510,0.512,0.517,0.523,0.521,0.522,0.519,0.516,0.511,0.504,0.501,0.490,0.488,0.479,0.474,0.470,0.462,0.458,0.449,
5,NG,56,0.007,0.010,0.012,0.011,0.014,0.022,0.025,0.030,0.038,0.046,0.053,0.063,0.069,0.081,0.089,0.099,0.110,0.120,0.134,0.143,0.159,0.170,0.178,0.191,0.202,0.216,0.227,0.239,0.252,0.259,0.273,0.282,0.292,0.302,0.311,0.320,0.329,0.336,0.339,0.347,0.353,0.355,0.363,0.364,0.364,0.364,0.360,0.355,0.353,0.344,0.338,0.335,0.330,0.323,0.319,0.314,,,,,,,,,,,,,,
6,GOOD,60,0.006,0.010,0.009,0.016,0.017,0.023,0.033,0.035,0.045,0.057,0.064,0.078,0.089,0.101,0.111,0.125,0.141,0.157,0.173,0.186,0.204,0.219,0.232,0.247,0.266,0.282,0.295,0.312,0.333,0.344,0.359,0.373,0.388,0.403,0.419,0.431,0.443,0.458,0.469,0.478,0.489,0.495,0.502,0.512,0.515,0.520,0.527,0.528,0.529,0.525,0.519,0.512,0.504,0.500,0.491,0.483,0.477,0.468,0.462,0.458,,,,,,,,,,
7,GOOD,65,0.006,0.006,0.010,0.011,0.018,0.020,0.024,0.033,0.041,0.049,0.058,0.064,0.077,0.086,0.098,0.109,0.122,0.132,0.147,0.159,0.174,0.186,0.200,0.214,0.228,0.240,0.258,0.269,0.288,0.297,0.314,0.325,0.339,0.358,0.366,0.378,0.391,0.409,0.417,0.429,0.439,0.452,0.460,0.465,0.478,0.482,0.488,0.499,0.501,0.507,0.507,0.512,0.514,0.510,0.505,0.497,0.490,0.487,0.478,0.472,0.466,0.462,0.454,0.449,0.439,,,,,
8,GOOD,55,0.011,0.009,0.013,0.016,0.024,0.026,0.038,0.046,0.056,0.074,0.085,0.102,0.115,0.129,0.150,0.167,0.182,0.205,0.224,0.240,0.261,0.279,0.302,0.322,0.339,0.361,0.384,0.403,0.420,0.436,0.458,0.475,0.492,0.508,0.518,0.534,0.548,0.557,0.568,0.580,0.586,0.593,0.599,0.601,0.604,0.593,0.584,0.579,0.571,0.559,0.553,0.541,0.535,0.529,0.521,,,,,,,,,,,,,,,
9,GOOD,70,0.007,0.008,0.010,0.011,0.017,0.022,0.028,0.030,0.041,0.045,0.057,0.068,0.075,0.089,0.100,0.109,0.124,0.136,0.149,0.160,0.179,0.191,0.208,0.218,0.233,0.247,0.265,0.282,0.298,0.311,0.330,0.345,0.357,0.373,0.388,0.405,0.420,0.433,0.448,0.462,0.470,0.485,0.495,0.506,0.520,0.532,0.539,0.547,0.559,0.566,0.572,0.576,0.582,0.588,0.593,0.593,0.594,0.589,0.587,0.578,0.569,0.563,0.557,0.551,0.542,0.540,0.532,0.527,0.518,0.509
10,NG,55,0.010,0.010,0.008,0.012,0.016,0.023,0.028,0.033,0.041,0.046,0.058,0.063,0.076,0.087,0.096,0.107,0.118,0.132,0.140,0.154,0.167,0.177,0.193,0.205,0.214,0.230,0.244,0.254,0.263,0.276,0.289,0.299,0.305,0.317,0.326,0.337,0.344,0.351,0.356,0.364,0.368,0.371,0.378,0.380,0.377,0.372,0.369,0.362,0.356,0.355,0.346,0.342,0.338,0.328,0.327,,,,,,,,,,,,,,,
